date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T21:05:32.098244,Postulado,Ingeniero de Desarrollo,,"python, java, sql, azure, react, node, software, backend",True,,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-desarrollo-software-en-cali-63AD90E268787EB461373E686DCF3405#lc=ListOffers-Score4-15
2026-02-09T21:05:34.857418,Postulado,"Senior Software Engineer, Supply Chain Tech",,"python, java, cloud, aws, react, node, support, software, backend, frontend",True,senior,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-senior-software-engineer-supply-chain-tech-en-bogota-dc-F6DD9E9561E1A9AA61373E686DCF3405#lc=ListOffers-Score4-16
2026-02-09T21:05:38.535342,Postulado,Ingeniero de software,,"python, sql, azure, software",False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-software-ibague-en-ibague-76C7063950FF4F1F61373E686DCF3405#lc=ListOffers-Score4-17
2026-02-09T21:05:41.211623,Empleo destacado,Desarrollador .NET,Postulado,"node, software, backend",True,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-ingeniero-de-software-en-bucaramanga-283B404F2A9ABF3161373E686DCF3405#lc=ListOffers-Score4-18
2026-02-09T21:05:43.942888,Empleo destacado,Desarrollador .NET,Postulado,"node, software, backend",True,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-ingeniero-de-software-en-bucaramanga-7CDF7FEF3D3EF90961373E686DCF3405#lc=ListOffers-Score4-19
2026-02-09T21:05:51.668488,Postulado,Ingeniero de Desarrollo .NET,,"java, sql, software",True,,35,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-desarrollo-net-software-erp-contable-y-produccion-en-bogota-dc-460CF25B67CE64A361373E686DCF3405#lc=ListOffers-Score4-0
2026-02-09T21:05:54.451518,Postulado,Analista QA Automation,,"python, java, sql, aws, azure, software",False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-qa-automation-floridablanca-en-floridablanca-B1885C47D29B655161373E686DCF3405#lc=ListOffers-Score3-1
2026-02-09T21:05:57.185606,Postulado,Cloud Support Engineer,,"python, java, sql, cloud, aws, security, support, software, backend",True,,4,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-cloud-support-engineer-aws-sql-java-en-bogota-dc-9AB767D6E4285F4A61373E686DCF3405#lc=ListOffers-Score3-2
2026-02-09T21:05:59.926737,Se precisa Urgente,Desktop Engineer II Bogotá,Empleo destacado,software,False,,30,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desktop-engineer-ii-bogota-en-bogota-dc-888DCBCA621D2B4261373E686DCF3405#lc=ListOffers-Score3-3
2026-02-09T21:06:02.665384,Postulado,Quality Assurance Engineer Sr,,"java, software",True,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-quality-assurance-engineer-sr-remoto-en-bogota-dc-11DAADFF0DAF10DB61373E686DCF3405#lc=ListOffers-Score3-4
2026-02-09T21:06:05.367163,Postulado,Endpoint Engineer,,"security, support, software",False,,3,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-endpoint-engineer-en-medellin-C30DF587CF9AD30061373E686DCF3405#lc=ListOffers-Score3-5
2026-02-09T21:06:08.123844,Postulado,Service Provider Networking Engineer,,"cloud, support, software",True,,,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-service-provider-networking-engineer-advanced-english-and-german-en-barranquilla-49A37AF4B5D6937F61373E686DCF3405#lc=ListOffers-Score3-6
