date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T21:50:49.112036,Supermercado Megatiendas,Full Stack Developer Junior,"Cartagena, Bolívar, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/full-stack-developer-junior-at-supermercado-megatiendas-4284073336?position=4&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=tHIO1kXcDf2kwOtV2ZmOZQ%3D%3D
2026-02-09T21:50:49.112135,Canals,Junior Software Engineer,"Bogota, D.C., Capital District, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/junior-software-engineer-at-canals-4334280216?position=5&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=htyEnZNQGSW8l901mgtWJQ%3D%3D
2026-02-09T21:50:49.112232,Rappi,Software Engineer Backend I,"Bogota, D.C., Capital District, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/software-engineer-backend-i-at-rappi-4353581033?position=6&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=KiHmr5MIN%2BMXXpkab3jyTQ%3D%3D
2026-02-09T21:50:49.112327,Somewhere,Web Developer,Colombia,software engineer,,,,,https://co.linkedin.com/jobs/view/web-developer-at-somewhere-4369540133?position=7&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=dcA1k7GW%2FKVYsub%2BxZZN5Q%3D%3D
2026-02-09T21:50:49.112552,AGS Youth Soccer Club,Junior Web Developer,"Bogota, D.C., Capital District, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/junior-web-developer-at-ags-youth-soccer-club-4366671513?position=8&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=XheyLUx4squrhdKBDBGq8Q%3D%3D
2026-02-09T21:50:49.112732,PayU,Junior Software Engineer,"Bogota, D.C., Capital District, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/junior-software-engineer-at-payu-4343715955?position=9&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=Vhh%2FLX2azwIL0zp9Wh6k%2Bg%3D%3D
2026-02-09T21:50:49.112923,Mercado Libre,Software Engineer - Mercado Pago IT,"Bogota, D.C., Capital District, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/software-engineer-mercado-pago-it-at-mercado-libre-4353243760?position=10&pageNum=0&refId=6ph6ERMKRWxsWjtWwmRpjg%3D%3D&trackingId=NX%2FGFHM86qUCD61XT6YeGg%3D%3D
2026-02-09T21:50:52.062194,Mercado Libre,Software Engineer Backend,"Medellín, Antioquia, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/software-engineer-backend-at-mercado-libre-4354104634?position=1&pageNum=2&refId=vxvVRu5C2PposkCSAHuWWg%3D%3D&trackingId=Y7cw8%2FRrvoFOPf7IBiKsQw%3D%3D
2026-02-09T21:50:52.062403,Foris,Software Engineer,Colombia,software engineer,,,,,https://co.linkedin.com/jobs/view/software-engineer-at-foris-4368064728?position=2&pageNum=2&refId=vxvVRu5C2PposkCSAHuWWg%3D%3D&trackingId=XvDfhA28SWwcMF94L9iqUg%3D%3D
2026-02-09T21:50:52.062507,AGS Youth Soccer Club,Web Developer,"Bogota, D.C., Capital District, Colombia",software engineer,,,,,https://co.linkedin.com/jobs/view/web-developer-at-ags-youth-soccer-club-4366658968?position=3&pageNum=2&refId=vxvVRu5C2PposkCSAHuWWg%3D%3D&trackingId=uCsKONaMDDay0NcPP9KsLg%3D%3D
